"Pin Number","Pin ID","Custom Name","Function","Mode", "Direction","Latch","Pull Up","Pull Down","Drive Strength"
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PA04,,Available,,,,,,NORMAL
6,PE04,,Available,,,,,,NORMAL
9,PA05,,Available,,,,,,NORMAL
10,PA06,,Available,,,,,,NORMAL
11,PA30,,Available,,,,,,NORMAL
12,PA31,,Available,,,,,,NORMAL
13,PA21,,Available,,,,,,NORMAL
14,PA22,,Available,,,,,,NORMAL
15,PA23,,Available,,,,,,NORMAL
16,PE00,,Available,,,,,,NORMAL
17,PE01,,Available,,,,,,NORMAL
18,PE02,,Available,,,,,,NORMAL
19,PE05,,Available,,,,,,NORMAL
22,PE06,,Available,,,,,,NORMAL
23,PE07,,Available,,,,,,NORMAL
24,PA07,,Available,,,,,,NORMAL
25,PA08,,Available,,,,,,NORMAL
26,PA09,,Available,,,,,,NORMAL
27,PE08,,Available,,,,,,NORMAL
28,PE09,,Available,,,,,,NORMAL
29,PE10,,Available,,,,,,NORMAL
30,PE11,,Available,,,,,,NORMAL
31,PA24,,Available,,,,,,NORMAL
32,PA25,,Available,,,,,,NORMAL
33,PE03,,Available,,,,,,NORMAL
36,PA10,,Available,,,,,,NORMAL
37,PA11,,Available,,,,,,NORMAL
38,PA26,,Available,,,,,,NORMAL
39,PA27,,Available,,,,,,NORMAL
40,PA12,,Available,,,,,,NORMAL
41,PA13,,Available,,,,,,NORMAL
42,PA14,,Available,,,,,,NORMAL
43,PA28,,Available,,,,,,NORMAL
44,PA29,,Available,,,,,,NORMAL
45,PA15,,Available,,,,,,NORMAL
48,PA16,,Available,,,,,,NORMAL
49,PA17,,Available,,,,,,NORMAL
50,PA18,,Available,,,,,,NORMAL
51,PA19,,Available,,,,,,NORMAL
52,PA20,,Available,,,,,,NORMAL
53,PB00,,Available,,,,,,NORMAL
54,PB01,,Available,,,,,,NORMAL
55,PB02,,Available,,,,,,NORMAL
56,PB03,,Available,,,,,,NORMAL
57,PB18,,Available,,,,,,NORMAL
58,PB19,,Available,,,,,,NORMAL
59,PB20,,Available,,,,,,NORMAL
62,PB04,,Available,,,,,,NORMAL
63,PB05,,Available,,,,,,NORMAL
66,PB21,LED0,GPIO,Digital,Out,Low,,,NORMAL
67,PB06,,Available,,,,,,NORMAL
68,PB22,,Available,,,,,,NORMAL
69,PB23,,Available,,,,,,NORMAL
70,PB07,,Available,,,,,,NORMAL
71,PB08,,Available,,,,,,NORMAL
72,PF01,,Available,,,,,,NORMAL
73,PF00,,Available,,,,,,NORMAL
74,PB27,,Available,,,,,,NORMAL
77,PF02,,Available,,,,,,NORMAL
78,PF03,,Available,,,,,,NORMAL
79,PF04,,Available,,,,,,NORMAL
80,PB28,,Available,,,,,,NORMAL
81,PF05,,Available,,,,,,NORMAL
82,PB09,,Available,,,,,,NORMAL
83,PB10,,Available,,,,,,NORMAL
84,PB11,,Available,,,,,,NORMAL
85,PB29,,Available,,,,,,NORMAL
88,PF06,,Available,,,,,,NORMAL
89,PF07,,Available,,,,,,NORMAL
90,PF08,,Available,,,,,,NORMAL
91,PB30,,Available,,,,,,NORMAL
92,PB31,,Available,,,,,,NORMAL
93,PB24,SW0,EIC_EXTINT8,Digital,High Impedance,n/a,No,No,NORMAL
94,PB25,,Available,,,,,,NORMAL
95,PB26,,Available,,,,,,NORMAL
96,PB12,,Available,,,,,,NORMAL
100,PB13,,Available,,,,,,NORMAL
101,PB14,,Available,,,,,,NORMAL
102,PB15,,Available,,,,,,NORMAL
103,PB16,,Available,,,,,,NORMAL
104,PB17,,Available,,,,,,NORMAL
105,PG04,,Available,,,,,,NORMAL
106,PC00,,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
107,PC01,,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
108,PC02,,Available,,,,,,NORMAL
109,PC03,,Available,,,,,,NORMAL
110,PC04,,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
113,PC05,,Available,,,,,,NORMAL
114,PC06,,Available,,,,,,NORMAL
115,PC21,,Available,,,,,,NORMAL
116,PC22,,Available,,,,,,NORMAL
117,PC07,,SERCOM1_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
118,PC08,,Available,,,,,,NORMAL
119,PC23,SW1,EIC_EXTINT7,Digital,High Impedance,n/a,No,No,NORMAL
120,PC24,,Available,,,,,,NORMAL
121,PC09,,Available,,,,,,NORMAL
122,PC25,,Available,,,,,,NORMAL
125,PC30,,Available,,,,,,NORMAL
126,PC31,,Available,,,,,,NORMAL
127,PC26,,Available,,,,,,NORMAL
128,PG00,,Available,,,,,,NORMAL
129,PG05,,Available,,,,,,NORMAL
130,PG06,,Available,,,,,,NORMAL
131,PG07,,Available,,,,,,NORMAL
132,PG08,,Available,,,,,,NORMAL
133,PG01,,Available,,,,,,NORMAL
134,PG02,,Available,,,,,,NORMAL
135,PC10,,Available,,,,,,NORMAL
136,PC11,,Available,,,,,,NORMAL
139,PG09,,Available,,,,,,NORMAL
140,PG10,,Available,,,,,,NORMAL
141,PG11,,Available,,,,,,NORMAL
142,PC27,,Available,,,,,,NORMAL
143,PG03,,Available,,,,,,NORMAL
144,PC28,,Available,,,,,,NORMAL
145,PC12,,Available,,,,,,NORMAL
146,PC13,,Available,,,,,,NORMAL
147,PC29,,Available,,,,,,NORMAL
148,PC14,,Available,,,,,,NORMAL
149,PC15,,Available,,,,,,NORMAL
153,PC17,,Available,,,,,,NORMAL
154,PC18,,Available,,,,,,NORMAL
155,PC19,,Available,,,,,,NORMAL
156,PC20,,Available,,,,,,NORMAL
173,PD00,,Available,,,,,,NORMAL
174,PD01,,Available,,,,,,NORMAL
175,PD24,,Available,,,,,,NORMAL
176,PD25,,Available,,,,,,NORMAL
179,PD13,,Available,,,,,,NORMAL
180,PD23,,Available,,,,,,NORMAL
181,PD14,,Available,,,,,,NORMAL
182,PD02,,Available,,,,,,NORMAL
183,PD03,,Available,,,,,,NORMAL
184,PD26,,Available,,,,,,NORMAL
185,PD27,,Available,,,,,,NORMAL
186,PD28,,Available,,,,,,NORMAL
187,PD29,,Available,,,,,,NORMAL
190,PD15,,Available,,,,,,NORMAL
191,PD16,,Available,,,,,,NORMAL
192,PD17,,Available,,,,,,NORMAL
193,PD04,,Available,,,,,,NORMAL
194,PD18,,Available,,,,,,NORMAL
195,PD19,,Available,,,,,,NORMAL
196,PD05,,Available,,,,,,NORMAL
197,PD06,,Available,,,,,,NORMAL
198,PD20,,Available,,,,,,NORMAL
199,PD21,,Available,,,,,,NORMAL
200,PD07,,Available,,,,,,NORMAL
204,PD08,,Available,,,,,,NORMAL
205,PD09,,Available,,,,,,NORMAL
206,PD10,,Available,,,,,,NORMAL
207,PD11,,Available,,,,,,NORMAL
208,PD12,,Available,,,,,,NORMAL
